instance_name	LB	OPT
class4_500_3_8	179	-1
class4_500_3_9	178	-1
class4_20_5_0	7	8
class4_20_5_1	10	10
class4_20_5_2	8	10
class4_20_5_3	8	9
class4_20_5_4	8	10
class4_20_5_5	8	9
class4_20_5_6	11	11
class4_20_5_7	8	10
class4_20_5_8	10	11
class4_20_5_9	9	10
class4_40_5_0	15	19
class4_40_5_1	14	15
class4_40_5_2	16	19
class4_40_5_3	15	19
class4_40_5_4	14	15
class4_40_5_5	16	18
class4_40_5_6	17	20
class4_40_5_7	17	18
class4_40_5_8	17	19
class4_40_5_9	16	17
class4_60_5_0	24	27
class4_60_5_1	24	26
class4_60_5_2	25	28
class4_60_5_3	25	26
class4_60_5_4	22	24
class4_60_5_5	22	24
class4_60_5_6	23	25
class4_60_5_7	24	26
class4_60_5_8	24	27
class4_60_5_9	22	26
class4_120_5_0	47	50
class4_120_5_1	47	50
class4_120_5_2	45	48
class4_120_5_3	45	48
class4_120_5_4	44	51
class4_120_5_5	43	46
class4_120_5_6	44	48
class4_120_5_7	42	46
class4_120_5_8	44	49
class4_120_5_9	45	49
class4_250_5_0	92	98
class4_250_5_1	90	97
class4_250_5_2	89	96
class4_250_5_3	90	99
class4_250_5_4	93	100
class4_250_5_5	97	105
class4_250_5_6	90	95
class4_250_5_7	90	95
class4_250_5_8	93	103
class4_250_5_9	90	97
class4_500_5_0	176	-1
class4_500_5_1	185	-1
class4_500_5_2	185	-1
class4_500_5_3	179	-1
class4_500_5_4	184	-1
class4_500_5_5	180	-1
class4_500_5_6	179	-1
class4_500_5_7	184	-1
class4_500_5_8	178	-1
class4_500_5_9	180	-1
class4_20_10_0	13	13
class4_20_10_1	13	13
class4_20_10_2	13	14
class4_20_10_3	13	14
class4_20_10_4	8	10
class4_20_10_5	9	12
class4_20_10_6	12	12
class4_20_10_7	10	12
class4_20_10_8	10	11
class4_20_10_9	11	12
class4_40_10_0	18	20
class4_40_10_1	20	23
class4_40_10_2	21	24
class4_40_10_3	19	22
class4_40_10_4	15	20
class4_40_10_5	17	21
class4_40_10_6	19	22
class4_40_10_7	23	23
class4_40_10_8	20	22
class4_40_10_9	27	27
class4_60_10_0	25	31
class4_60_10_1	25	33
class4_60_10_2	34	34
class4_60_10_3	26	31
class4_60_10_4	28	34
class4_60_10_5	34	36
class4_60_10_6	27	31
class4_60_10_7	28	32
class4_60_10_8	29	32
class4_60_10_9	23	29
class4_120_10_0	49	63
class4_120_10_1	54	62
